OrderID,Category,Product,Price,Quantity,CustomerAge,DeliveryDays,Rating,Total
1002,Sport,Bicycle Helmet,41.15,6,43.0,5.0,5.0,246.89999999999998
1003,Books,Python Programming,32.57,3,39.0,4.0,3.4,97.71000000000001
1004,Games,Gaming Mouse,83.67,4,25.0,3.0,5.0,334.68
1005,Electronics,Monitor,136.5,4,49.0,8.0,4.2,546.0
1006,Electronics,Smartwatch,131.95999999999998,1,47.0,5.0,3.3,131.95999999999998
1007,Electronics,Powerbank,182.46,4,27.0,6.0,2.8,729.84
1008,Sport,Dumbbells,46.31,4,27.0,3.0,3.0,185.24
1009,Games,Console Game,45.34,2,28.0,5.0,3.7,90.68
1010,Books,Fiction Novel,40.17,3,29.0,3.0,4.1,120.51
1011,Electronics,Bluetooth Speaker,98.37,6,44.0,6.0,5.0,590.22
1012,Sport,Bicycle Helmet,33.18,2,38.0,5.0,4.8,66.36
1013,Books,Sci-Fi Book,23.64,3,43.0,3.0,3.5,70.92
1014,Electronics,Smartwatch,91.3,1,41.0,5.0,4.5,91.3
1015,Electronics,Monitor,136.99,1,51.0,6.0,5.0,136.99
1016,Electronics,Smartwatch,4999.0,2,23.0,3.0,5.0,9998.0
1017,Clothing,Hoodie,6.74,3,38.0,1.0,3.9,20.22
1018,Games,Gamepad,50.98,4,18.0,5.0,5.0,203.92
1019,Clothing,Sneakers,38.79,3,21.0,2.0,5.0,116.37
1020,Clothing,Hoodie,55.71,3,33.0,4.0,3.0,167.13
1021,Games,Gamepad,46.55,2,38.0,6.0,3.8,93.1
1022,Electronics,Smartwatch,216.41,5,33.0,3.0,5.0,1082.05
1023,Clothing,Jeans,61.76,4,28.0,2.0,4.0,247.04
1024,Clothing,T-Shirt,40.32,2,30.0,3.0,1.9,80.64
1025,Clothing,Jeans,58.8,2,48.0,3.0,4.1,117.6
1026,Books,Fiction Novel,33.94,4,30.0,4.0,5.0,135.76
1027,Electronics,Monitor,133.4,3,51.0,2.0,4.2,400.20000000000005
1028,Games,Keyboard,67.03999999999999,2,42.0,8.0,4.8,134.07999999999998
