OrderID,Category,Product,Price,Quantity,CustomerAge,DeliveryDays,Rating
1001,Clothing,Hoodie,,1,27.0,3.0,4.0
1002,Sport,Bicycle Helmet,41.15,6,43.0,5.0,5.0
1003,Books,Python Programming,32.57,3,39.0,4.0,3.4
1004,Games,Gaming Mouse,83.67,4,25.0,3.0,5.0
1005,Electronics,Monitor,136.5,4,49.0,8.0,4.2
1006,Electronics,Smartwatch,131.95999999999998,1,47.0,5.0,3.3
1007,Electronics,Powerbank,182.46,4,27.0,6.0,2.8
1008,Sport,Dumbbells,46.31,4,27.0,3.0,3.0
1009,Games,Console Game,45.34,2,28.0,5.0,3.7
1010,Books,Fiction Novel,40.17,3,29.0,3.0,4.1
1011,Electronics,Bluetooth Speaker,98.37,6,44.0,6.0,5.0
1012,Sport,Bicycle Helmet,33.18,2,38.0,5.0,4.8
1013,Books,Sci-Fi Book,23.64,3,43.0,3.0,3.5
1014,Electronics,Smartwatch,91.3,1,41.0,5.0,4.5
1015,Electronics,Monitor,136.99,1,51.0,6.0,5.0
1016,Electronics,Smartwatch,4999.0,2,23.0,3.0,5.0
1017,Clothing,Hoodie,6.74,3,38.0,1.0,3.9
1018,Games,Gamepad,50.98,4,18.0,5.0,5.0
1019,Clothing,Sneakers,38.79,3,21.0,2.0,5.0
1020,Clothing,Hoodie,55.71,3,33.0,4.0,3.0
1021,Games,Gamepad,46.55,2,38.0,6.0,3.8
1022,Electronics,Smartwatch,216.41,5,33.0,3.0,5.0
1023,Clothing,Jeans,61.76,4,28.0,2.0,4.0
1024,Clothing,T-Shirt,40.32,2,30.0,3.0,1.9
1025,Clothing,Jeans,58.8,2,48.0,3.0,4.1
1026,Books,Fiction Novel,33.94,4,30.0,4.0,5.0
1027,Electronics,Monitor,133.4,3,51.0,2.0,4.2
1028,Games,Keyboard,67.03999999999999,2,42.0,8.0,4.8
1029,Games,Gamepad,55.81,4,39.0,6.0,5.0
1030,Electronics,Monitor,133.65,1,22.0,2.0,3.9
1031,Games,Keyboard,67.35,1,43.0,2.0,3.8
1032,Electronics,Monitor,198.89,2,29.0,2.0,4.3
1033,Electronics,Bluetooth Speaker,,1,22.0,3.0,4.3
1034,Sport,Bicycle Helmet,35.239999999999995,5,39.0,4.0,4.2
1035,Sport,Dumbbells,18.689999999999998,2,20.0,7.0,4.3
1036,Books,Python Programming,44.71,6,26.0,4.0,3.6
1037,Clothing,Hoodie,41.84,5,34.0,5.0,4.8
1038,Electronics,Headphones,144.25,2,56.0,4.0,4.7
1039,Games,Keyboard,83.59,4,27.0,4.0,3.1
1040,Clothing,Sneakers,47.73,2,29.0,4.0,3.9
1041,Electronics,Monitor,117.99,2,41.0,3.0,4.3
1042,Clothing,T-Shirt,62.04,1,22.0,5.0,3.8
1043,Electronics,Powerbank,141.59,4,38.0,3.0,4.7
1044,Sport,Fitness Band,46.15,3,46.0,5.0,4.1
1045,Clothing,Sneakers,26.72,3,31.0,5.0,4.3
1046,Games,Board Game,73.09,4,44.0,1.0,3.9
1047,Clothing,Jeans,49.51,4,37.0,5.0,2.6
1048,Games,Keyboard,34.43,4,27.0,5.0,
1049,Games,Gaming Mouse,62.28,5,32.0,4.0,4.7
1050,Electronics,Headphones,50.75,2,30.0,5.0,4.4
1051,Sport,Fitness Band,64.59,2,33.0,3.0,4.6
1052,Books,Sci-Fi Book,21.74,1,36.0,5.0,4.3
1053,Sport,Dumbbells,56.92,1,40.0,3.0,4.4
1054,Sport,Fitness Band,31.46,1,39.0,2.0,5.0
1055,Games,Gaming Mouse,63.4,1,18.0,4.0,4.6
1056,Sport,Dumbbells,30.42,3,33.0,6.0,5.0
1057,Electronics,Powerbank,160.9,2,19.0,5.0,4.3
1058,Electronics,Smartwatch,116.53,3,31.0,3.0,4.0
1059,Electronics,Smartwatch,141.84,1,33.0,6.0,4.4
1060,Clothing,Jacket,45.18,2,44.0,5.0,3.5
1061,Clothing,Jeans,28.61,4,34.0,7.0,3.9
1062,Clothing,T-Shirt,51.05,2,37.0,2.0,4.3
1063,Books,Biography,26.23,1,42.0,2.0,4.3
1064,Clothing,Hoodie,57.54,2,46.0,9.0,
1065,Clothing,Sneakers,42.17,4,33.0,2.0,3.1
1066,Games,Board Game,53.85,7,35.0,6.0,4.7
1067,Electronics,Headphones,185.59,3,34.0,4.0,4.9
1068,Books,History Book,47.86,2,29.0,5.0,5.0
1069,Electronics,Bluetooth Speaker,153.3,1,26.0,4.0,4.6
1070,Sport,Bicycle Helmet,36.989999999999995,2,18.0,2.0,4.2
1071,Books,History Book,27.19,5,23.0,2.0,3.4
1072,Electronics,Smartwatch,95.53,3,18.0,4.0,5.0
1073,Electronics,Bluetooth Speaker,102.49,2,47.0,2.0,4.4
1074,Books,History Book,27.95,5,36.0,6.0,4.4
1075,Books,Fiction Novel,44.73,2,33.0,4.0,4.0
1076,Books,Fiction Novel,28.52,4,27.0,6.0,3.9
1077,Books,Biography,20.8,2,34.0,3.0,4.8
1078,Electronics,Bluetooth Speaker,126.5,1,26.0,4.0,3.4
1079,Clothing,Jacket,47.14,2,36.0,4.0,5.0
1080,Electronics,Monitor,126.28,4,36.0,3.0,5.0
1081,Sport,Bicycle Helmet,48.4,2,25.0,3.0,3.9
1082,Games,Console Game,,2,25.0,6.0,3.5
1083,Clothing,T-Shirt,54.22,3,44.0,3.0,2.6
1084,Electronics,Headphones,96.91,3,33.0,6.0,3.2
1085,Clothing,Jeans,66.37,5,26.0,6.0,4.8
1086,Clothing,Jacket,48.03,5,30.0,5.0,4.5
1087,Books,History Book,33.0,2,24.0,4.0,4.6
1088,Games,Keyboard,43.23,1,33.0,5.0,2.7
1089,Sport,Fitness Band,44.95,2,42.0,45.0,3.9
1090,Clothing,Sneakers,52.81,2,34.0,6.0,5.0
1091,Electronics,Smartwatch,82.89,2,58.0,3.0,4.1
1092,Books,Biography,17.560000000000002,5,38.0,3.0,3.2
1093,Books,Python Programming,32.2,4,36.0,3.0,4.1
1094,Games,Board Game,47.67,3,25.0,5.0,3.6
1095,Books,Python Programming,31.95,2,32.0,4.0,4.5
1096,Clothing,T-Shirt,29.51,3,26.0,6.0,4.2
1097,Games,Board Game,31.59,2,18.0,7.0,4.6
1098,Clothing,Hoodie,47.48,2,44.0,3.0,3.2
1099,Electronics,Smartwatch,112.41,2,29.0,4.0,3.8
1100,Electronics,Smartwatch,49.01,3,26.0,2.0,5.0
1101,Electronics,Smartwatch,173.35,2,36.0,6.0,3.1
1102,Games,Board Game,35.39,2,39.0,7.0,3.4
1103,Clothing,Jacket,75.88,3,31.0,6.0,4.4
1104,Games,Gamepad,45.64,4,34.0,1.0,4.4
1105,Sport,Bicycle Helmet,44.22,1,41.0,2.0,3.8
